Survived,Pclass,Sex,Age,AgeGroup,FareType,Fare,ThirdClass
No,3,male,22,Between18and40,Standard,7.25,Yes
Yes,1,female,38,Between18and40,Expensive,71.2833,No
Yes,3,female,26,Between18and40,Standard,7.925,Yes
Yes,1,female,35,Between18and40,Expensive,53.1,No
No,3,male,35,Between18and40,Standard,8.05,Yes
No,3,male,27,Between18and40,Standard,8.4583,Yes
No,1,male,54,Over40,Expensive,51.8625,No
No,3,male,2,Under18,Expensive,21.075,Yes
Yes,3,female,27,Between18and40,Standard,11.1333,Yes
Yes,2,female,14,Under18,Expensive,30.0708,No
Yes,3,female,4,Under18,Standard,16.7,Yes
Yes,1,female,58,Over40,Expensive,26.55,No
No,3,male,20,Between18and40,Standard,8.05,Yes
No,3,male,39,Between18and40,Expensive,31.275,Yes
No,3,female,14,Under18,Standard,7.8542,Yes
Yes,2,female,55,Over40,Standard,16,No
No,3,male,2,Under18,Expensive,29.125,Yes
Yes,2,male,23,Between18and40,Standard,13,No
No,3,female,31,Between18and40,Standard,18,Yes
Yes,3,female,22,Between18and40,Standard,7.225,Yes
No,2,male,35,Between18and40,Expensive,26,No
Yes,2,male,34,Between18and40,Standard,13,No
Yes,3,female,15,Under18,Standard,8.0292,Yes
Yes,1,male,28,Between18and40,Expensive,35.5,No
No,3,female,8,Under18,Expensive,21.075,Yes
Yes,3,female,38,Between18and40,Expensive,31.3875,Yes
No,3,male,26,Between18and40,Standard,7.225,Yes
No,1,male,19,Between18and40,Expensive,263,No
Yes,3,female,24,Between18and40,Standard,7.8792,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
No,1,male,40,Over40,Expensive,27.7208,No
Yes,1,female,48,Over40,Expensive,146.5208,No
Yes,3,female,18,Under18,Standard,7.75,Yes
No,2,male,66,Over40,Standard,10.5,No
No,1,male,28,Between18and40,Expensive,82.1708,No
No,1,male,42,Over40,Expensive,52,No
Yes,3,male,18,Under18,Standard,7.2292,Yes
No,3,male,21,Between18and40,Standard,8.05,Yes
No,3,female,18,Under18,Standard,18,Yes
Yes,3,female,14,Under18,Standard,11.2417,Yes
No,3,female,40,Over40,Standard,9.475,Yes
No,2,female,27,Between18and40,Expensive,21,No
Yes,2,female,3,Under18,Expensive,41.5792,No
Yes,3,female,19,Between18and40,Standard,7.8792,Yes
No,3,male,30,Between18and40,Standard,8.05,Yes
No,3,male,20,Between18and40,Standard,15.5,Yes
Yes,3,female,27,Between18and40,Standard,7.75,Yes
No,3,male,16,Under18,Expensive,21.6792,Yes
No,3,female,18,Under18,Standard,17.8,Yes
No,3,male,7,Under18,Expensive,39.6875,Yes
No,3,male,21,Between18and40,Standard,7.8,Yes
Yes,1,female,49,Over40,Expensive,76.7292,No
Yes,2,female,29,Between18and40,Expensive,26,No
No,1,male,65,Over40,Expensive,61.9792,No
Yes,1,male,46,Over40,Expensive,35.5,No
Yes,2,female,21,Between18and40,Standard,10.5,No
No,3,male,28.5,Between18and40,Standard,7.2292,Yes
Yes,2,female,5,Under18,Expensive,27.75,No
No,3,male,11,Under18,Expensive,46.9,Yes
No,3,male,22,Between18and40,Standard,7.2292,Yes
Yes,1,female,38,Between18and40,Expensive,80,No
No,1,male,45,Over40,Expensive,83.475,No
No,3,male,4,Under18,Expensive,27.9,Yes
No,1,male,64,Over40,Expensive,27.7208,No
Yes,3,male,7,Under18,Standard,15.2458,Yes
Yes,2,female,29,Between18and40,Standard,10.5,No
No,3,male,19,Between18and40,Standard,8.1583,Yes
Yes,3,female,17,Under18,Standard,7.925,Yes
No,3,male,26,Between18and40,Standard,8.6625,Yes
No,2,male,32,Between18and40,Standard,10.5,No
No,3,female,16,Under18,Expensive,46.9,Yes
No,2,male,21,Between18and40,Expensive,73.5,No
No,3,male,26,Between18and40,Standard,14.4542,Yes
Yes,3,male,32,Between18and40,Expensive,56.4958,Yes
No,3,male,25,Between18and40,Standard,7.65,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
No,3,male,28,Between18and40,Standard,8.05,Yes
Yes,2,male,0.83,Under18,Expensive,29,No
Yes,3,female,30,Between18and40,Standard,12.475,Yes
No,3,male,22,Between18and40,Standard,9,Yes
Yes,3,male,29,Between18and40,Standard,9.5,Yes
Yes,3,female,31,Between18and40,Standard,7.7875,Yes
No,1,male,28,Between18and40,Expensive,47.1,No
Yes,2,female,17,Under18,Standard,10.5,No
Yes,3,female,33,Between18and40,Standard,15.85,Yes
No,3,male,16,Under18,Expensive,34.375,Yes
No,3,male,20,Between18and40,Standard,8.05,Yes
Yes,1,female,23,Between18and40,Expensive,263,No
No,3,male,24,Between18and40,Standard,8.05,Yes
No,3,male,29,Between18and40,Standard,8.05,Yes
No,3,male,20,Between18and40,Standard,7.8542,Yes
No,1,male,46,Over40,Expensive,61.175,No
No,3,male,26,Between18and40,Expensive,20.575,Yes
No,3,male,59,Over40,Standard,7.25,Yes
No,3,male,22,Between18and40,Standard,8.05,Yes
No,1,male,71,Over40,Expensive,34.6542,No
Yes,1,male,23,Between18and40,Expensive,63.3583,No
Yes,2,female,34,Between18and40,Expensive,23,No
No,2,male,34,Between18and40,Expensive,26,No
No,3,female,28,Between18and40,Standard,7.8958,Yes
No,3,male,29,Between18and40,Standard,7.8958,Yes
No,1,male,21,Between18and40,Expensive,77.2875,No
No,3,male,33,Between18and40,Standard,8.6542,Yes
No,3,male,37,Between18and40,Standard,7.925,Yes
No,3,male,28,Between18and40,Standard,7.8958,Yes
Yes,3,female,21,Between18and40,Standard,7.65,Yes
Yes,3,male,29,Between18and40,Standard,7.775,Yes
No,3,male,38,Between18and40,Standard,7.8958,Yes
Yes,3,female,28,Between18and40,Expensive,24.15,Yes
No,1,male,47,Over40,Expensive,52,No
No,3,female,14.5,Under18,Standard,14.4542,Yes
No,3,male,22,Between18and40,Standard,8.05,Yes
No,3,female,20,Between18and40,Standard,9.825,Yes
No,3,female,17,Under18,Standard,14.4583,Yes
No,3,male,21,Between18and40,Standard,7.925,Yes
No,3,male,70.5,Over40,Standard,7.75,Yes
No,2,male,29,Between18and40,Expensive,21,No
No,1,male,24,Between18and40,Expensive,247.5208,No
No,3,female,2,Under18,Expensive,31.275,Yes
No,2,male,21,Between18and40,Expensive,73.5,No
No,3,male,19,Between18and40,Standard,8.05,Yes
No,2,male,32.5,Between18and40,Expensive,30.0708,No
Yes,2,female,32.5,Between18and40,Standard,13,No
No,1,male,54,Over40,Expensive,77.2875,No
Yes,3,male,12,Under18,Standard,11.2417,Yes
No,3,male,19,Between18and40,Standard,7.75,Yes
Yes,3,male,24,Between18and40,Standard,7.1417,Yes
